,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
0,XSHG,2020-01-02,1,2019-12-31,0,0,0,0
1,XSHG,2020-01-03,1,2020-01-02,1,0,0,0
2,XSHG,2020-01-06,1,2020-01-03,0,0,0,0
3,XSHG,2020-01-07,1,2020-01-06,0,0,0,0
4,XSHG,2020-01-08,1,2020-01-07,0,0,0,0
5,XSHG,2020-01-09,1,2020-01-08,0,0,0,0
6,XSHG,2020-01-10,1,2020-01-09,1,0,0,0
7,XSHG,2020-01-13,1,2020-01-10,0,0,0,0
8,XSHG,2020-01-14,1,2020-01-13,0,0,0,0
9,XSHG,2020-01-15,1,2020-01-14,0,0,0,0
10,XSHG,2020-01-16,1,2020-01-15,0,0,0,0
11,XSHG,2020-01-17,1,2020-01-16,1,0,0,0
12,XSHG,2020-01-20,1,2020-01-17,0,0,0,0
13,XSHG,2020-01-21,1,2020-01-20,0,0,0,0
14,XSHG,2020-01-22,1,2020-01-21,0,0,0,0
15,XSHG,2020-01-23,1,2020-01-22,1,1,0,0
16,XSHG,2020-02-03,1,2020-01-23,0,0,0,0
17,XSHG,2020-02-04,1,2020-02-03,0,0,0,0
18,XSHG,2020-02-05,1,2020-02-04,0,0,0,0
19,XSHG,2020-02-06,1,2020-02-05,0,0,0,0
20,XSHG,2020-02-07,1,2020-02-06,1,0,0,0
21,XSHG,2020-02-10,1,2020-02-07,0,0,0,0
22,XSHG,2020-02-11,1,2020-02-10,0,0,0,0
23,XSHG,2020-02-12,1,2020-02-11,0,0,0,0
24,XSHG,2020-02-13,1,2020-02-12,0,0,0,0
25,XSHG,2020-02-14,1,2020-02-13,1,0,0,0
26,XSHG,2020-02-17,1,2020-02-14,0,0,0,0
27,XSHG,2020-02-18,1,2020-02-17,0,0,0,0
28,XSHG,2020-02-19,1,2020-02-18,0,0,0,0
29,XSHG,2020-02-20,1,2020-02-19,0,0,0,0
30,XSHG,2020-02-21,1,2020-02-20,1,0,0,0
31,XSHG,2020-02-24,1,2020-02-21,0,0,0,0
32,XSHG,2020-02-25,1,2020-02-24,0,0,0,0
33,XSHG,2020-02-26,1,2020-02-25,0,0,0,0
34,XSHG,2020-02-27,1,2020-02-26,0,0,0,0
35,XSHG,2020-02-28,1,2020-02-27,1,1,0,0
36,XSHG,2020-03-02,1,2020-02-28,0,0,0,0
37,XSHG,2020-03-03,1,2020-03-02,0,0,0,0
38,XSHG,2020-03-04,1,2020-03-03,0,0,0,0
39,XSHG,2020-03-05,1,2020-03-04,0,0,0,0
40,XSHG,2020-03-06,1,2020-03-05,1,0,0,0
41,XSHG,2020-03-09,1,2020-03-06,0,0,0,0
42,XSHG,2020-03-10,1,2020-03-09,0,0,0,0
43,XSHG,2020-03-11,1,2020-03-10,0,0,0,0
44,XSHG,2020-03-12,1,2020-03-11,0,0,0,0
45,XSHG,2020-03-13,1,2020-03-12,1,0,0,0
46,XSHG,2020-03-16,1,2020-03-13,0,0,0,0
47,XSHG,2020-03-17,1,2020-03-16,0,0,0,0
48,XSHG,2020-03-18,1,2020-03-17,0,0,0,0
49,XSHG,2020-03-19,1,2020-03-18,0,0,0,0
50,XSHG,2020-03-20,1,2020-03-19,1,0,0,0
51,XSHG,2020-03-23,1,2020-03-20,0,0,0,0
52,XSHG,2020-03-24,1,2020-03-23,0,0,0,0
53,XSHG,2020-03-25,1,2020-03-24,0,0,0,0
54,XSHG,2020-03-26,1,2020-03-25,0,0,0,0
55,XSHG,2020-03-27,1,2020-03-26,1,0,0,0
56,XSHG,2020-03-30,1,2020-03-27,0,0,0,0
57,XSHG,2020-03-31,1,2020-03-30,0,1,1,0
58,XSHG,2020-04-01,1,2020-03-31,0,0,0,0
59,XSHG,2020-04-02,1,2020-04-01,0,0,0,0
60,XSHG,2020-04-03,1,2020-04-02,1,0,0,0
61,XSHG,2020-04-07,1,2020-04-03,0,0,0,0
62,XSHG,2020-04-08,1,2020-04-07,0,0,0,0
63,XSHG,2020-04-09,1,2020-04-08,0,0,0,0
64,XSHG,2020-04-10,1,2020-04-09,1,0,0,0
65,XSHG,2020-04-13,1,2020-04-10,0,0,0,0
66,XSHG,2020-04-14,1,2020-04-13,0,0,0,0
67,XSHG,2020-04-15,1,2020-04-14,0,0,0,0
68,XSHG,2020-04-16,1,2020-04-15,0,0,0,0
69,XSHG,2020-04-17,1,2020-04-16,1,0,0,0
70,XSHG,2020-04-20,1,2020-04-17,0,0,0,0
71,XSHG,2020-04-21,1,2020-04-20,0,0,0,0
72,XSHG,2020-04-22,1,2020-04-21,0,0,0,0
73,XSHG,2020-04-23,1,2020-04-22,0,0,0,0
74,XSHG,2020-04-24,1,2020-04-23,1,0,0,0
75,XSHG,2020-04-27,1,2020-04-24,0,0,0,0
76,XSHG,2020-04-28,1,2020-04-27,0,0,0,0
77,XSHG,2020-04-29,1,2020-04-28,0,0,0,0
78,XSHG,2020-04-30,1,2020-04-29,1,1,0,0
79,XSHG,2020-05-06,1,2020-04-30,0,0,0,0
80,XSHG,2020-05-07,1,2020-05-06,0,0,0,0
81,XSHG,2020-05-08,1,2020-05-07,1,0,0,0
82,XSHG,2020-05-11,1,2020-05-08,0,0,0,0
83,XSHG,2020-05-12,1,2020-05-11,0,0,0,0
84,XSHG,2020-05-13,1,2020-05-12,0,0,0,0
