KHH,JYS,ZQLX,BZJBL
398000012255,SH,EBS, 1.000000
398000012255,SZ,EBS, 1.000000
398000068075,SH,EBS, 1.000000
398000068075,SZ,EBS, 1.000000
398000011265,SH,EBS, 1.000000
398000011265,SZ,EBS, 1.000000
398000012160,SH,EBS, 1.000000
398000012160,SZ,EBS, 1.000000
398000011500,SH,EBS, 1.000000
398000011500,SZ,EBS, 1.000000
396000014446,SH,EBS, 1.000000
396000014446,SZ,EBS, 1.000000
398000011171,SH,EBS, 1.000000
398000011171,SZ,EBS, 1.000000
398000010802,SH,EBS, 1.000000
398000010802,SZ,EBS, 1.000000
398000011289,SH,EBS, 1.000000
398000011289,SZ,EBS, 1.000000
398000011620,SH,EBS, 1.000000
398000011620,SZ,EBS, 1.000000
398000011302,SH,EBS, 1.000000
398000011302,SZ,EBS, 1.000000
398000011212,SH,EBS, 1.000000
398000011212,SZ,EBS, 1.000000
398000011811,SH,EBS, 1.000000
398000011811,SZ,EBS, 1.000000
398000011213,SH,EBS, 1.000000
398000011213,SZ,EBS, 1.000000
396000013429,SH,EBS, 1.000000
396000013429,SZ,EBS, 1.000000
396000012915,SH,EBS, 1.000000
396000012915,SZ,EBS, 1.000000
396000012133,SH,EBS, 1.000000
396000012133,SZ,EBS, 1.000000
388000011545,SH,EBS, 1.100000
388000011545,SZ,EBS, 1.100000
