iner_ip,机房,资产编号,资产类别,机柜,U位置,机器型号,SN号,节点,状态,系统,互联网,高速交易,高速行情A,高速行情B,,,,
192.168.253.200,宁桥路机房,,,I3-17,U17,IBM x3550 M3,06YVL93,3号节点,,windows2008,10.20.253.202,220.89.121.4,,,,,,
192.168.253.205,宁桥路机房,,,I3-18,U33,Lenovo x3550 M4,06HAGAL,3号节点,,Linux,10.20.253.10,220.89.121.12,,,,,,
192.168.253.206,宁桥路机房,,,I3-18,U29-30,HP DL 380,6CU82478BM,3号节点,,windows2012,,220.89.121.13,,,,,,
192.168.253.149,宁桥路机房,,,I3-18,U29,Dell R630,F633CP2,3号节点,,CentOS7,10.20.253.149,220.89.121.63,,,,,,
192.168.253.204,宁桥路机房,,,I3-18,U25-26,Dell R740,FX6HDNZ,3号节点,可共用,redhat7.4,10.20.253.204,220.89.121.11,,,,,,
192.168.253.217,宁桥路机房,,,I3-18,U21-22,HP DL380 Gen10,6CU82478DT,3号节点,,Centos7.6,10.20.253.217,220.89.121.24,,,,,,
192.168.253.214,宁桥路机房,,,I3-19,U25,XENON Rx981i8 cores,18386-1S08,3号节点,可共用,redhat7.5,10.20.253.214,220.89.121.21,,,,,,
192.168.253.216,宁桥路机房,,,I3-19,U19-20,Dell R730,JTD7GL2,3号节点,,Linux,10.20.253.216,220.89.121.23,,,,,,
192.168.253.220,宁桥路机房,,,I3-19,U17,超微服务器,S295906X7B28676,3号节点,,Linux,10.20.253.220,220.89.121.27,,,,,,
192.168.253.224,宁桥路机房,,,I3-19,U15,IBM X3550 M3,79441PP-99C6054,3号节点,共享行情,Windows 2008,,220.89.121.31,,,,,,
192.168.253.221,宁桥路机房,,,I3-19,U13-14,HP DL380 Gen10,6CU8259C5S,3号节点,,Centos7.6,10.20.253.221,220.89.121.28,,,,,,
192.168.253.234,宁桥路机房,,,I3-19,U7,IBM System X3550 M5,99H4179,3号节点,,windows2012,10.20.253.234,220.89.121.48,,,,,,
192.168.253.223,宁桥路机房,,,I3-20,U37-38,Dell R740,9JZG4Y2,3号节点,,Linux,10.20.253.223,220.89.121.30,,,,,,
192.168.253.222,宁桥路机房,,,I3-20,U33-34,Qiangwei H99K,FB08796C,3号节点,,Centos7.6,10.20.253.222,220.89.121.29,,,,,,
